id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__bcp47langs.dll	lib/wine/aarch64-windows/bcp47langs.dll	pe	misc	True	90112	f0838a8f1194b921fb15d371622928ce69474051f9aa6af18ecc8e9c66b89780		unknown		bcp47langs.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__bcrypt.dll	lib/wine/aarch64-windows/bcrypt.dll	pe	misc	True	692224	226111315d80e2c91ee9037d996d919c76b62b3b5f9d6b653363dcb406440a55		unknown		bcrypt.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__bcryptprimitives.dll	lib/wine/aarch64-windows/bcryptprimitives.dll	pe	misc	True	77824	d8b3c80ff554c2bc1319fb9dc0dcc27f56503939babd4e8749c2d51362f37764		unknown		bcryptprimitives.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__belauncher.exe	lib/wine/aarch64-windows/belauncher.exe	pe	misc	True	106496	0efe970b9332798f1aea2732bdb85ad4dbef4865c7f701aea5c337901d7ab1fa		unknown		belauncher.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__bluetoothapis.dll	lib/wine/aarch64-windows/bluetoothapis.dll	pe	misc	True	237568	13077d36e280821dda5045a6691defb7812fa9d0a1c9b9a0866b00f7411b6140		unknown		bluetoothapis.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__browseui.dll	lib/wine/aarch64-windows/browseui.dll	pe	misc	True	880640	6ccfa4435c5a7de944c8c0a0c59cbf7f4e2a62c8675670862d98fb3d3fc77c12		unknown		browseui.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__bthprops.cpl	lib/wine/aarch64-windows/bthprops.cpl	pe	misc	True	86016	058fcee05f3ece3a4645fe179450899147806670f9a4f0e658e54553bbf89657		unknown		bthprops.cpl	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__cabarc.exe	lib/wine/aarch64-windows/cabarc.exe	pe	misc	True	139264	10c26f5709593f978594d30ca30ecd12c40b26373cdc71ecf6c376257fee7c57		unknown		cabarc.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__cabinet.dll	lib/wine/aarch64-windows/cabinet.dll	pe	cpu_translation	True	827392	4cfca53b70675cceef1659a11686ed712513a64d9bd3714405d98aa11d80d132		unknown		cabinet.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__cacls.exe	lib/wine/aarch64-windows/cacls.exe	pe	misc	True	90112	29449aeffcff8bf82c96d1041e98f4fb28662c7e1aa8724a2f9e34076ad8cbbb		unknown		cacls.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
